 ,Kill .,Date,Time,Area ID,Species ID,Number of Animals,Behavior ID,Consumption Stage (pile 1),Consumption Stage (pile 2),Consumption Stage (pile 3),. of obs,. of cars,Notes,Peck Count,sample period,Field1,Proofed
7923,03-080,3/10/2003,8:25,AT CARCASS,RAVEN,5,,4,,,,,,,,,
7924,03-080,3/10/2003,8:25,CARCASS ARENA,RAVEN,4,,4,,,,,,,,,
7925,03-080,3/10/2003,8:25,FIELD OF VIEW,MAGPIE,3,,4,,,,,,,,,
7926,03-080,3/10/2003,10:55,AT CARCASS,MAGPIE,3,,4,,,,,,,,,
7927,03-080,3/10/2003,10:55,CARCASS ARENA,GOLDEN EAGLE,1,,4,,,,,,,,,
7928,03-080,3/10/2003,11:10,AT CARCASS,RAVEN,3,,4,,,,,,,,,
7929,03-080,3/10/2003,11:10,AT CARCASS,BALD EAGLE,1,,4,,,,,,,,,
7930,03-080,3/10/2003,11:10,CARCASS ARENA,RAVEN,2,,4,,,,,,,,,
7931,03-080,3/10/2003,11:10,CARCASS ARENA,MAGPIE,5,,4,,,,,,,,,
7932,03-080,3/10/2003,11:10,CARCASS ARENA,GOLDEN EAGLE,1,,4,,,,,,,,,
7933,03-080,3/10/2003,11:10,FIELD OF VIEW,RAVEN,2,,4,,,,,,,,,
7934,03-080,3/10/2003,11:10,FIELD OF VIEW,MAGPIE,2,,4,,,,,,,,,
7935,03-080,3/10/2003,11:10,FIELD OF VIEW,BALD EAGLE,1,,4,,,,,,,,,
7936,03-080,3/10/2003,11:25,AT CARCASS,MAGPIE,5,,4,,,,,,,,,
7937,03-080,3/10/2003,11:25,CARCASS ARENA,RAVEN,5,,4,,,,,,,,,
7938,03-080,3/10/2003,11:25,CARCASS ARENA,MAGPIE,3,,4,,,,,,,,,
7939,03-080,3/10/2003,11:25,CARCASS ARENA,GOLDEN EAGLE,1,,4,,,,,,,,,
7940,03-080,3/10/2003,11:25,FIELD OF VIEW,RAVEN,5,,4,,,,,,,,,
7941,03-080,3/10/2003,11:25,FIELD OF VIEW,BALD EAGLE,3,,4,,,,,,,,,
7942,03-080,3/10/2003,11:40,AT CARCASS,MAGPIE,4,,4,,,,,,,,,
7943,03-080,3/10/2003,11:40,CARCASS ARENA,RAVEN,2,,4,,,,,,,,,
7944,03-080,3/10/2003,11:40,CARCASS ARENA,MAGPIE,2,,4,,,,,,,,,
7945,03-080,3/10/2003,11:40,CARCASS ARENA,BALD EAGLE,1,,4,,,,,,,,,
7946,03-080,3/10/2003,11:40,FIELD OF VIEW,RAVEN,14,,4,,,,,,,,,
7947,03-080,3/10/2003,11:40,FIELD OF VIEW,GOLDEN EAGLE,2,,4,,,,,,,,,
7948,03-080,3/10/2003,11:40,FIELD OF VIEW,BALD EAGLE,2,,4,,,,,,,,,
7949,03-080,3/10/2003,11:55,AT CARCASS,MAGPIE,4,,4,,,,,,,,,
7950,03-080,3/10/2003,11:55,AT CARCASS,GOLDEN EAGLE,1,,4,,,,,,,,,
7951,03-080,3/10/2003,11:55,CARCASS ARENA,RAVEN,1,,4,,,,,,,,,
7952,03-080,3/10/2003,11:55,CARCASS ARENA,MAGPIE,4,,4,,,,,,,,,
7953,03-080,3/10/2003,11:55,FIELD OF VIEW,RAVEN,8,,4,,,,,,,,,
7954,03-080,3/10/2003,11:55,FIELD OF VIEW,GOLDEN EAGLE,1,,4,,,,,,,,,
7955,03-080,3/10/2003,12:10,AT CARCASS,MAGPIE,4,,4,,,,,,,,,
7956,03-080,3/10/2003,12:10,AT CARCASS,GOLDEN EAGLE,1,,4,,,,,,,,,
7957,03-080,3/10/2003,12:10,CARCASS ARENA,MAGPIE,1,,4,,,,,,,,,
7958,03-080,3/10/2003,12:10,FIELD OF VIEW,RAVEN,4,,4,,,,,,,,,
7959,03-080,3/10/2003,12:10,FIELD OF VIEW,MAGPIE,1,,4,,,,,,,,,
7960,03-080,3/10/2003,12:25,AT CARCASS,MAGPIE,4,,4,,,,,,,,,
7961,03-080,3/10/2003,12:25,CARCASS ARENA,MAGPIE,1,,4,,,,,,,,,
7962,03-080,3/10/2003,12:25,FIELD OF VIEW,RAVEN,2,,4,,,,,,,,,
7963,03-055,3/14/2003,10:45,AT CARCASS,COYOTE,1,,3,,,15,6,,,,,
7964,03-055,3/14/2003,10:45,CARCASS ARENA,RAVEN,13,,3,,,15,6,,,,,
7965,03-055,3/14/2003,10:45,CARCASS ARENA,MAGPIE,8,,3,,,15,6,,,,,
7966,03-055,3/14/2003,10:45,FIELD OF VIEW,RAVEN,2,,3,,,15,6,,,,,
7967,03-055,3/14/2003,11:00,AT CARCASS,COYOTE,1,,3,,,20,7,,,,,
7968,03-055,3/14/2003,11:00,CARCASS ARENA,RAVEN,7,,3,,,20,7,,,,,
7969,03-055,3/14/2003,11:00,CARCASS ARENA,MAGPIE,3,,3,,,20,7,,,,,
7970,03-055,3/14/2003,11:00,FIELD OF VIEW,RAVEN,6,,3,,,20,7,,,,,
7971,03-055,3/14/2003,11:00,FIELD OF VIEW,MAGPIE,3,,3,,,20,7,,,,,
7972,03-060,3/20/2003,8:45,AT CARCASS,RAVEN,2,,3,,,2,1,,,,,
7973,03-060,3/20/2003,9:00,AT CARCASS,MAGPIE,1,,3,,,2,1,,,,,
7974,03-060,3/20/2003,9:15,AT CARCASS,RAVEN,1,,3,,,2,1,,,,,
7975,03-060,3/20/2003,9:15,AT CARCASS,MAGPIE,1,,3,,,2,1,,,,,
7976,03-060,3/20/2003,9:30,AT CARCASS,MAGPIE,2,,3,,,2,1,,,,,
7977,03-060,3/20/2003,9:45,AT CARCASS,COYOTE,1,,3,,,2,1,,,,,
7978,03-060,3/20/2003,9:45,CARCASS ARENA,RAVEN,1,,3,,,2,1,,,,,
7979,03-060,3/20/2003,9:45,CARCASS ARENA,MAGPIE,2,,3,,,2,1,,,,,
7980,03-060,3/20/2003,9:45,CARCASS ARENA,COYOTE,2,,3,,,2,1,,,,,
7981,03-060,3/20/2003,9:45,FIELD OF VIEW,MAGPIE,2,,3,,,2,1,,,,,
7982,03-060,3/20/2003,10:00,AT CARCASS,MAGPIE,3,,3,,,2,1,,,,,
7983,03-060,3/20/2003,10:00,AT CARCASS,COYOTE,1,,3,,,2,1,,,,,
7984,03-060,3/20/2003,10:15,AT CARCASS,RAVEN,1,,3,,,2,1,,,,,
7985,03-060,3/20/2003,10:15,AT CARCASS,MAGPIE,4,,3,,,2,1,,,,,
7986,03-060,3/20/2003,10:15,CARCASS ARENA,COYOTE,3,,3,,,2,1,,,,,
7987,03-060,3/20/2003,10:30,CARCASS ARENA,COYOTE,3,,3,,,2,1,,,,,
7988,03-060,3/20/2003,10:45,AT CARCASS,RAVEN,2,,3,,,2,1,,,,,
7989,03-060,3/20/2003,10:45,AT CARCASS,MAGPIE,1,,3,,,2,1,,,,,
7990,03-060,3/20/2003,10:45,FIELD OF VIEW,COYOTE,3,,3,,,2,1,,,,,
7991,03-060,3/20/2003,11:00,AT CARCASS,RAVEN,1,,3,,,2,1,,,,,
7992,03-060,3/20/2003,11:00,AT CARCASS,MAGPIE,1,,3,,,2,1,,,,,
7993,03-060,3/20/2003,11:00,FIELD OF VIEW,RAVEN,1,,3,,,2,1,,,,,
7994,03-060,3/20/2003,11:00,FIELD OF VIEW,COYOTE,1,,3,,,2,1,,,,,
7995,03-060,3/20/2003,11:15,AT CARCASS,MAGPIE,1,,3,,,2,1,,,,,
7996,03-060,3/20/2003,11:15,FIELD OF VIEW,COYOTE,1,,3,,,2,1,,,,,
7997,03-060,3/20/2003,11:30,AT CARCASS,MAGPIE,3,,3,,,2,1,,,,,
7998,03-060,3/20/2003,11:30,FIELD OF VIEW,COYOTE,1,,3,,,2,1,,,,,
7999,03-060,3/20/2003,11:45,AT CARCASS,MAGPIE,2,,3,,,2,1,,,,,
8000,03-060,3/20/2003,11:45,FIELD OF VIEW,COYOTE,1,,3,,,2,1,,,,,
8001,03-060,3/20/2003,12:00,AT CARCASS,MAGPIE,2,,3,,,2,1,,,,,
8002,03-060,3/20/2003,12:00,FIELD OF VIEW,COYOTE,1,,3,,,2,1,,,,,
8003,03-060,3/20/2003,12:15,FIELD OF VIEW,COYOTE,2,,3,,,2,1,,,,,
8004,03-060,3/20/2003,12:30,FIELD OF VIEW,COYOTE,2,,3,,,2,1,,,,,
8005,03-060,3/20/2003,12:45,AT CARCASS,MAGPIE,1,,3,,,2,1,,,,,
8006,03-060,3/20/2003,12:45,AT CARCASS,COYOTE,1,,3,,,2,1,,,,,
8007,03-060,3/20/2003,12:45,CARCASS ARENA,MAGPIE,1,,3,,,2,1,,,,,
8008,03-060,3/20/2003,12:45,FIELD OF VIEW,COYOTE,1,,3,,,2,1,,,,,
8009,03-060,3/20/2003,13:00,AT CARCASS,MAGPIE,1,,3,,,2,1,,,,,
8010,03-060,3/20/2003,13:00,AT CARCASS,COYOTE,1,,3,,,2,1,,,,,
8011,03-060,3/20/2003,13:00,FIELD OF VIEW,RAVEN,1,,3,,,2,1,,,,,
8012,03-065,3/25/2003,9:45,AT CARCASS,RAVEN,1,,3,,,2,0,,,,,
8013,03-065,3/25/2003,9:45,AT CARCASS,GOLDEN EAGLE,1,,3,,,2,0,,,,,
8014,03-065,3/25/2003,9:45,CARCASS ARENA,RAVEN,6,,3,,,2,0,,,,,
8015,03-065,3/25/2003,9:45,CARCASS ARENA,GOLDEN EAGLE,1,,3,,,2,0,,,,,
8016,03-065,3/25/2003,9:45,CARCASS ARENA,BALD EAGLE,1,,3,,,2,0,,,,,
8017,03-065,3/25/2003,9:45,FIELD OF VIEW,WOLF,8,,3,,,2,0,,,,,
8018,03-065,3/25/2003,9:45,FIELD OF VIEW,RAVEN,4,,3,,,2,0,,,,,
8019,03-065,3/25/2003,10:00,AT CARCASS,GOLDEN EAGLE,1,,3,,,2,0,,,,,
8020,03-065,3/25/2003,10:00,CARCASS ARENA,RAVEN,3,,3,,,2,0,,,,,
8021,03-065,3/25/2003,10:00,CARCASS ARENA,GOLDEN EAGLE,1,,3,,,2,0,,,,,
8022,03-065,3/25/2003,10:00,FIELD OF VIEW,WOLF,8,,3,,,2,0,,,,,
8023,03-065,3/25/2003,10:00,FIELD OF VIEW,RAVEN,10,,3,,,2,0,,,,,
8024,03-065,3/25/2003,10:00,FIELD OF VIEW,COYOTE,2,,3,,,2,0,,,,,
8025,03-065,3/25/2003,10:00,FIELD OF VIEW,BALD EAGLE,1,,3,,,2,0,,,,,
8026,03-065,3/25/2003,10:15,AT CARCASS,RAVEN,4,,3,,,2,0,,,,,
8027,03-065,3/25/2003,10:15,CARCASS ARENA,RAVEN,19,,3,,,2,0,,,,,
8028,03-065,3/25/2003,10:15,FIELD OF VIEW,WOLF,8,,3,,,2,0,,,,,
8029,03-065,3/25/2003,10:15,FIELD OF VIEW,RAVEN,5,,3,,,2,0,,,,,
8030,03-065,3/25/2003,10:15,FIELD OF VIEW,GOLDEN EAGLE,2,,3,,,2,0,,,,,
8031,03-065,3/25/2003,10:30,AT CARCASS,RAVEN,1,,3,,,2,0,,,,,
8032,03-065,3/25/2003,10:30,AT CARCASS,GOLDEN EAGLE,1,,3,,,2,0,,,,,
8033,03-065,3/25/2003,10:30,CARCASS ARENA,RAVEN,18,,3,,,2,0,,,,,
8034,03-065,3/25/2003,10:30,FIELD OF VIEW,WOLF,8,,3,,,2,0,,,,,
8035,03-065,3/25/2003,10:30,FIELD OF VIEW,RAVEN,5,,3,,,2,0,,,,,
8036,03-065,3/25/2003,10:30,FIELD OF VIEW,GOLDEN EAGLE,1,,3,,,2,0,,,,,
8037,03-065,3/25/2003,10:45,AT CARCASS,RAVEN,2,,3,,,2,0,,,,,
8038,03-065,3/25/2003,10:45,AT CARCASS,GOLDEN EAGLE,2,,3,,,2,0,,,,,
8039,03-065,3/25/2003,10:45,CARCASS ARENA,RAVEN,10,,3,,,2,0,,,,,
8040,03-065,3/25/2003,10:45,CARCASS ARENA,GOLDEN EAGLE,1,,3,,,2,0,,,,,
8041,03-065,3/25/2003,10:45,FIELD OF VIEW,WOLF,8,,3,,,2,0,,,,,
8042,03-065,3/25/2003,10:45,FIELD OF VIEW,RAVEN,11,,3,,,2,0,,,,,
8043,03-065,3/25/2003,11:00,AT CARCASS,RAVEN,7,,3,,,2,0,,,,,
8044,03-065,3/25/2003,11:00,CARCASS ARENA,RAVEN,8,,3,,,2,0,,,,,
8045,03-065,3/25/2003,11:00,FIELD OF VIEW,WOLF,8,,3,,,2,0,,,,,
8046,03-065,3/25/2003,11:00,FIELD OF VIEW,RAVEN,6,,3,,,2,0,,,,,
8047,03-065,3/25/2003,11:00,FIELD OF VIEW,GOLDEN EAGLE,1,,3,,,2,0,,,,,
8048,03-065,3/25/2003,11:15,AT CARCASS,RAVEN,1,,3,,,2,0,,,,,
8049,03-065,3/25/2003,11:15,AT CARCASS,COYOTE,1,,3,,,2,0,,,,,
8050,03-065,3/25/2003,11:15,CARCASS ARENA,RAVEN,10,,3,,,2,0,,,,,
8051,03-065,3/25/2003,11:15,FIELD OF VIEW,WOLF,8,,3,,,2,0,,,,,
8052,03-065,3/25/2003,11:15,FIELD OF VIEW,RAVEN,5,,3,,,2,0,,,,,
8053,03-065,3/25/2003,11:15,FIELD OF VIEW,GOLDEN EAGLE,1,,3,,,2,0,,,,,
8054,03-065,3/25/2003,11:30,AT CARCASS,WOLF,1,,3,,,2,0,,,,,
8055,03-065,3/25/2003,11:30,AT CARCASS,RAVEN,2,,3,,,2,0,,,,,
8056,03-065,3/25/2003,11:30,CARCASS ARENA,RAVEN,13,,3,,,2,0,,,,,
8057,03-065,3/25/2003,11:30,FIELD OF VIEW,WOLF,7,,3,,,2,0,,,,,
8058,03-065,3/25/2003,11:30,FIELD OF VIEW,RAVEN,5,,3,,,2,0,,,,,
8059,03-065,3/25/2003,11:30,FIELD OF VIEW,GOLDEN EAGLE,2,,3,,,2,0,,,,,
8060,03-065,3/25/2003,11:45,AT CARCASS,WOLF,1,,3,,,2,0,,,,,
8061,03-065,3/25/2003,11:45,AT CARCASS,RAVEN,2,,3,,,2,0,,,,,
8062,03-065,3/25/2003,11:45,CARCASS ARENA,RAVEN,11,,3,,,2,0,,,,,
8063,03-065,3/25/2003,11:45,FIELD OF VIEW,WOLF,7,,3,,,2,0,,,,,
8064,03-065,3/25/2003,11:45,FIELD OF VIEW,RAVEN,5,,3,,,2,0,,,,,
8065,03-065,3/25/2003,11:45,FIELD OF VIEW,COYOTE,1,,3,,,2,0,,,,,
8066,03-065,3/25/2003,11:45,FIELD OF VIEW,GOLDEN EAGLE,1,,3,,,2,0,,,,,
8067,03-065,3/25/2003,12:00,AT CARCASS,WOLF,1,,3,,,2,0,,,,,
8068,03-065,3/25/2003,12:00,CARCASS ARENA,RAVEN,11,,3,,,2,0,,,,,
8069,03-065,3/25/2003,12:00,FIELD OF VIEW,WOLF,7,,3,,,2,0,,,,,
8070,03-065,3/25/2003,12:00,FIELD OF VIEW,RAVEN,10,,3,,,2,0,,,,,
8071,03-065,3/25/2003,12:00,FIELD OF VIEW,GOLDEN EAGLE,1,,3,,,2,0,,,,,
8072,03-065,3/25/2003,12:15,AT CARCASS,RAVEN,1,,3,,,2,0,,,,,
8073,03-065,3/25/2003,12:15,AT CARCASS,COYOTE,1,,3,,,2,0,,,,,
8074,03-065,3/25/2003,12:15,CARCASS ARENA,RAVEN,18,,3,,,2,0,,,,,
8075,03-065,3/25/2003,12:15,FIELD OF VIEW,WOLF,8,,3,,,2,0,,,,,
8076,03-065,3/25/2003,12:15,FIELD OF VIEW,RAVEN,3,,3,,,2,0,,,,,
8077,03-065,3/25/2003,12:15,FIELD OF VIEW,COYOTE,1,,3,,,2,0,,,,,
8078,03-065,3/25/2003,12:15,FIELD OF VIEW,GOLDEN EAGLE,1,,3,,,2,0,,,,,
8079,03-066,3/27/2003,7:00,AT CARCASS,WOLF,1,,2,,,2,2,,,,,
8080,03-066,3/27/2003,7:00,CARCASS ARENA,WOLF,1,,2,,,2,2,,,,,
8081,03-066,3/27/2003,7:00,CARCASS ARENA,RAVEN,6,,2,,,2,2,,,,,
8082,03-066,3/27/2003,7:00,FIELD OF VIEW,RAVEN,20,,2,,,2,2,,,,,
8083,03-066,3/27/2003,7:00,FIELD OF VIEW,MAGPIE,6,,2,,,2,2,,,,,
8084,03-066,3/27/2003,7:15,AT CARCASS,RAVEN,6,,2,,,2,2,,,,,
8085,03-066,3/27/2003,7:15,AT CARCASS,MAGPIE,1,,2,,,2,2,,,,,
8086,03-066,3/27/2003,7:15,CARCASS ARENA,WOLF,1,,2,,,2,2,,,,,
8087,03-066,3/27/2003,7:15,CARCASS ARENA,MAGPIE,2,,2,,,2,2,,,,,
8088,03-066,3/27/2003,7:15,FIELD OF VIEW,WOLF,1,,2,,,2,2,,,,,
8089,03-066,3/27/2003,7:15,FIELD OF VIEW,RAVEN,3,,2,,,2,2,,,,,
8090,03-066,3/27/2003,7:30,AT CARCASS,RAVEN,1,,2,,,10,4,,,,,
8091,03-066,3/27/2003,7:30,AT CARCASS,GOLDEN EAGLE,1,,2,,,10,4,,,,,
8092,03-066,3/27/2003,7:30,CARCASS ARENA,RAVEN,12,,2,,,10,4,,,,,
8093,03-066,3/27/2003,7:30,CARCASS ARENA,MAGPIE,5,,2,,,10,4,,,,,
8094,03-066,3/27/2003,7:30,FIELD OF VIEW,WOLF,3,,2,,,10,4,,,,,
8095,03-066,3/27/2003,7:30,FIELD OF VIEW,RAVEN,3,,2,,,10,4,,,,,
8096,03-066,3/27/2003,7:30,FIELD OF VIEW,MAGPIE,3,,2,,,10,4,,,,,
8097,03-066,3/27/2003,7:45,AT CARCASS,RAVEN,3,,2,,,10,4,,,,,
8098,03-066,3/27/2003,7:45,CARCASS ARENA,RAVEN,7,,2,,,10,4,,,,,
8099,03-066,3/27/2003,7:45,CARCASS ARENA,MAGPIE,3,,2,,,10,4,,,,,
8100,03-066,3/27/2003,7:45,FIELD OF VIEW,WOLF,3,,2,,,10,4,,,,,
8101,03-066,3/27/2003,7:45,FIELD OF VIEW,RAVEN,8,,2,,,10,4,,,,,
8102,03-066,3/27/2003,7:45,FIELD OF VIEW,MAGPIE,5,,2,,,10,4,,,,,
8103,03-066,3/27/2003,7:45,FIELD OF VIEW,GOLDEN EAGLE,2,,2,,,10,4,,,,,
8104,03-066,3/27/2003,8:00,AT CARCASS,RAVEN,3,,2,,,10,4,,,,,
8105,03-066,3/27/2003,8:00,AT CARCASS,BALD EAGLE,1,,2,,,10,4,,,,,
8106,03-066,3/27/2003,8:00,CARCASS ARENA,RAVEN,9,,2,,,10,4,,,,,
8107,03-066,3/27/2003,8:00,CARCASS ARENA,MAGPIE,1,,2,,,10,4,,,,,
8108,03-066,3/27/2003,8:00,FIELD OF VIEW,WOLF,3,,2,,,10,4,,,,,
8109,03-066,3/27/2003,8:00,FIELD OF VIEW,RAVEN,5,,2,,,10,4,,,,,
8110,03-066,3/27/2003,8:00,FIELD OF VIEW,GOLDEN EAGLE,3,,2,,,10,4,,,,,
8111,03-066,3/27/2003,8:15,AT CARCASS,RAVEN,2,,2,,,10,4,,,,,
8112,03-066,3/27/2003,8:15,AT CARCASS,BALD EAGLE,1,,2,,,10,4,,,,,
8113,03-066,3/27/2003,8:15,CARCASS ARENA,RAVEN,6,,2,,,10,4,,,,,
8114,03-066,3/27/2003,8:15,CARCASS ARENA,GOLDEN EAGLE,1,,2,,,10,4,,,,,
8115,03-066,3/27/2003,8:15,FIELD OF VIEW,WOLF,3,,2,,,10,4,,,,,
8116,03-066,3/27/2003,8:15,FIELD OF VIEW,RAVEN,5,,2,,,10,4,,,,,
8117,03-066,3/27/2003,8:15,FIELD OF VIEW,GOLDEN EAGLE,1,,2,,,10,4,,,,,
8118,03-066,3/27/2003,8:30,AT CARCASS,RAVEN,2,,2,,,10,4,,,,,
8119,03-066,3/27/2003,8:30,AT CARCASS,BALD EAGLE,1,,2,,,10,4,,,,,
8120,03-066,3/27/2003,8:30,CARCASS ARENA,RAVEN,9,,2,,,10,4,,,,,
8121,03-066,3/27/2003,8:30,CARCASS ARENA,MAGPIE,2,,2,,,10,4,,,,,
8122,03-066,3/27/2003,8:30,FIELD OF VIEW,WOLF,3,,2,,,10,4,,,,,
8123,03-066,3/27/2003,8:30,FIELD OF VIEW,BALD EAGLE,1,,2,,,10,4,,,,,
8124,03-066,3/27/2003,8:45,AT CARCASS,RAVEN,2,,2,,,10,4,,,,,
8125,03-066,3/27/2003,8:45,AT CARCASS,BALD EAGLE,1,,2,,,10,4,,,,,
8126,03-066,3/27/2003,8:45,CARCASS ARENA,RAVEN,10,,2,,,10,4,,,,,
8127,03-066,3/27/2003,8:45,FIELD OF VIEW,WOLF,5,,2,,,10,4,,,,,
8128,03-066,3/27/2003,8:45,FIELD OF VIEW,RAVEN,5,,2,,,10,4,,,,,
8129,03-066,3/27/2003,8:45,FIELD OF VIEW,MAGPIE,1,,2,,,10,4,,,,,
8130,03-066,3/27/2003,9:00,AT CARCASS,WOLF,1,,2,,,10,4,,,,,
8131,03-066,3/27/2003,9:00,AT CARCASS,RAVEN,1,,2,,,10,4,,,,,
8132,03-066,3/27/2003,9:00,AT CARCASS,MAGPIE,1,,2,,,10,4,,,,,
8133,03-066,3/27/2003,9:00,CARCASS ARENA,RAVEN,6,,2,,,10,4,,,,,
8134,03-066,3/27/2003,9:00,CARCASS ARENA,MAGPIE,4,,2,,,10,4,,,,,
8135,03-066,3/27/2003,9:00,FIELD OF VIEW,WOLF,4,,2,,,10,4,,,,,
8136,03-066,3/27/2003,9:00,FIELD OF VIEW,RAVEN,5,,2,,,10,4,,,,,
8137,03-066,3/27/2003,9:00,FIELD OF VIEW,COYOTE,2,,2,,,10,4,,,,,
8138,03-066,3/27/2003,9:15,AT CARCASS,RAVEN,4,,2,,,10,4,,,,,
8139,03-066,3/27/2003,9:15,CARCASS ARENA,RAVEN,9,,2,,,10,4,,,,,
8140,03-066,3/27/2003,9:15,FIELD OF VIEW,WOLF,5,,2,,,10,4,,,,,
8141,03-066,3/27/2003,9:15,FIELD OF VIEW,RAVEN,5,,2,,,10,4,,,,,
8142,03-066,3/27/2003,9:15,FIELD OF VIEW,COYOTE,2,,2,,,10,4,,,,,
8143,03-066,3/27/2003,9:15,FIELD OF VIEW,BALD EAGLE,2,,2,,,10,4,,,,,
8144,03-066,3/27/2003,9:30,AT CARCASS,RAVEN,5,,2,,,10,4,,,,,
8145,03-066,3/27/2003,9:30,CARCASS ARENA,RAVEN,19,,2,,,10,4,,,,,
8146,03-066,3/27/2003,9:30,FIELD OF VIEW,WOLF,5,,2,,,10,4,,,,,
8147,03-066,3/27/2003,9:30,FIELD OF VIEW,RAVEN,2,,2,,,10,4,,,,,
8148,03-066,3/27/2003,9:30,FIELD OF VIEW,MAGPIE,1,,2,,,10,4,,,,,
8149,03-066,3/27/2003,9:30,FIELD OF VIEW,COYOTE,2,,2,,,10,4,,,,,
8150,03-066,3/27/2003,9:30,FIELD OF VIEW,BALD EAGLE,2,,2,,,10,4,,,,,
8151,03-066,3/27/2003,9:45,AT CARCASS,RAVEN,4,,2,,,10,4,,,,,
8152,03-066,3/27/2003,9:45,CARCASS ARENA,RAVEN,9,,2,,,10,4,,,,,
8153,03-066,3/27/2003,9:45,CARCASS ARENA,MAGPIE,2,,2,,,10,4,,,,,
8154,03-066,3/27/2003,9:45,FIELD OF VIEW,WOLF,4,,2,,,10,4,,,,,
8155,03-066,3/27/2003,9:45,FIELD OF VIEW,COYOTE,1,,2,,,10,4,,,,,
8156,03-066,3/27/2003,10:00,AT CARCASS,COYOTE,2,,2,,,10,4,,,,,
8157,03-066,3/27/2003,10:00,CARCASS ARENA,RAVEN,3,,2,,,10,4,,,,,
8158,03-066,3/27/2003,10:00,CARCASS ARENA,MAGPIE,4,,2,,,10,4,,,,,
8159,03-066,3/27/2003,10:00,FIELD OF VIEW,WOLF,4,,2,,,10,4,,,,,
8160,03-066,3/27/2003,10:15,AT CARCASS,RAVEN,3,,2,,,10,4,,,,,
8161,03-066,3/27/2003,10:15,AT CARCASS,MAGPIE,2,,2,,,10,4,,,,,
8162,03-066,3/27/2003,10:15,AT CARCASS,COYOTE,2,,2,,,10,4,,,,,
8163,03-066,3/27/2003,10:15,CARCASS ARENA,RAVEN,13,,2,,,10,4,,,,,
8164,03-066,3/27/2003,10:15,FIELD OF VIEW,WOLF,4,,2,,,10,4,,,,,
8165,03-066,3/27/2003,10:15,FIELD OF VIEW,COYOTE,3,,2,,,10,4,,,,,
8166,03-066,3/27/2003,10:30,AT CARCASS,RAVEN,2,,2,,,10,4,,,,,
8167,03-066,3/27/2003,10:30,AT CARCASS,COYOTE,2,,2,,,10,4,,,,,
8168,03-066,3/27/2003,10:30,CARCASS ARENA,RAVEN,10,,2,,,10,4,,,,,
8169,03-066,3/27/2003,10:30,FIELD OF VIEW,WOLF,4,,2,,,10,4,,,,,
8170,03-066,3/27/2003,10:30,FIELD OF VIEW,RAVEN,9,,2,,,10,4,,,,,
8171,03-066,3/27/2003,10:30,FIELD OF VIEW,COYOTE,2,,2,,,10,4,,,,,
8172,03-066,3/27/2003,10:30,FIELD OF VIEW,GOLDEN EAGLE,1,,2,,,10,4,,,,,
8173,03-066,3/27/2003,10:45,AT CARCASS,RAVEN,2,,2,,,10,4,,,,,
8174,03-066,3/27/2003,10:45,AT CARCASS,MAGPIE,1,,2,,,10,4,,,,,
8175,03-066,3/27/2003,10:45,AT CARCASS,COYOTE,2,,2,,,10,4,,,,,
8176,03-066,3/27/2003,10:45,CARCASS ARENA,RAVEN,20,,2,,,10,4,,,,,
8177,03-066,3/27/2003,10:45,CARCASS ARENA,MAGPIE,2,,2,,,10,4,,,,,
8178,03-066,3/27/2003,10:45,FIELD OF VIEW,WOLF,4,,2,,,10,4,,,,,
8179,03-066,3/27/2003,10:45,FIELD OF VIEW,MAGPIE,1,,2,,,10,4,,,,,
8180,03-066,3/27/2003,10:45,FIELD OF VIEW,COYOTE,2,,2,,,10,4,,,,,
8181,03-066,3/27/2003,11:00,AT CARCASS,MAGPIE,2,,2,,,10,4,,,,,
8182,03-066,3/27/2003,11:00,AT CARCASS,GOLDEN EAGLE,1,,2,,,10,4,,,,,
8183,03-066,3/27/2003,11:00,CARCASS ARENA,RAVEN,7,,2,,,10,4,,,,,
8184,03-066,3/27/2003,11:00,FIELD OF VIEW,WOLF,4,,2,,,10,4,,,,,
8185,03-066,3/27/2003,11:00,FIELD OF VIEW,COYOTE,2,,2,,,10,4,,,,,
8186,03-066,3/27/2003,11:30,AT CARCASS,WOLF,1,,2,,,10,4,,,,,
8187,03-066,3/27/2003,11:30,CARCASS ARENA,RAVEN,31,,2,,,10,4,,,,,
8188,03-066,3/27/2003,11:30,FIELD OF VIEW,WOLF,4,,2,,,10,4,,,,,
8189,03-066,3/27/2003,11:30,FIELD OF VIEW,RAVEN,5,,2,,,10,4,,,,,
8190,03-066,3/27/2003,11:30,FIELD OF VIEW,MAGPIE,2,,2,,,10,4,,,,,
8191,03-114,3/29/2003,8:30,AT CARCASS,RAVEN,8,,3,,,,,,,,,
8192,03-114,3/29/2003,8:30,CARCASS ARENA,RAVEN,5,,3,,,,,,,,,
8193,03-114,3/29/2003,8:30,CARCASS ARENA,MAGPIE,4,,3,,,,,,,,,
8194,03-114,3/29/2003,8:30,FIELD OF VIEW,WOLF,5,,3,,,,,,,,,
8195,03-114,3/29/2003,8:30,FIELD OF VIEW,RAVEN,1,,3,,,,,,,,,
8196,03-114,3/29/2003,8:30,FIELD OF VIEW,BALD EAGLE,1,,3,,,,,,,,,
8197,03-114,3/29/2003,8:45,AT CARCASS,RAVEN,9,,3,,,,,,,,,
8198,03-114,3/29/2003,8:45,CARCASS ARENA,WOLF,1,,3,,,,,,,,,
